,Link,Title,Price,Details,Rating,TItle
0,,,,,,
1,https://www.airbnb.co.in/rooms/8464284?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹5,216 per night",1 bed,4.74,Private room in Honolulu
2,https://www.airbnb.co.in/rooms/48506722?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹7,612 per night",1 king bed,4.75,Apartment in Honolulu
3,https://www.airbnb.co.in/rooms/29398720?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹9,424 per night",1 bed,4.84,Private room in Honolulu
4,https://www.airbnb.co.in/rooms/549387797494551181?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹12,512 per night",1 bed,4.23,Hotel room in Honolulu
5,https://www.airbnb.co.in/rooms/48521067?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹8,689 per night",2 double beds,4.71,Apartment in Honolulu
6,https://www.airbnb.co.in/rooms/22755502?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹9,139 per night",2 beds,4.62,Apartment in Honolulu
7,https://www.airbnb.co.in/rooms/629783776004637274?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹9,014 per night, originally ₹12,477",1 queen bed,5.0,Apartment in Honolulu
8,https://www.airbnb.co.in/rooms/12761642?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹9,187 per night",1 queen bed,4.75,Private room in Honolulu
9,https://www.airbnb.co.in/rooms/20911438?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=96b31037-2cbc-418c-8ce3-0105d722c67c,,"₹10,656 per night",1 queen bed,4.66,Apartment in Honolulu
