,Link,Name,Price,Color,link
0,,,,,
1,,2022 Ford F-150,"$62,070",White,https://www.carpages.ca/new-cars/british-columbia/surrey/2022-ford-f-150-8771105/
2,,2021 Toyota Prius,"$48,000",Magnetic Grey Metallic,https://www.carpages.ca/used-cars/ontario/waterloo/2021-toyota-prius-8771003/
3,,2010 Ford F-150,"$7,496",Red Candy Dual-Coat Metallic,https://www.carpages.ca/used-cars/ontario/mississauga/2010-ford-f-150-8770736/
4,,2012 Ford F-150,"$21,496",Sterling Grey Metallic,https://www.carpages.ca/used-cars/ontario/mississauga/2012-ford-f-150-8770730/
5,,2020 Kia Soul,"$39,998",Space Green [green],https://www.carpages.ca/used-cars/british-columbia/courtenay/2020-kia-soul-8770544/
6,,2021 Toyota RAV4,"$52,898",Black,https://www.carpages.ca/used-cars/ontario/ottawa/2021-toyota-rav4-8770295/
7,,2021 Tesla Model 3,"$71,995",Grey,https://www.carpages.ca/used-cars/ontario/clarington/2021-tesla-model-3-8770079/
8,,2019 Ford Fusion,"$28,190",Gray,https://www.carpages.ca/used-cars/nova-scotia/yarmouth/2019-ford-fusion-8769779/
9,,2020 Tesla Model 3,"$79,970",Solid Black,https://www.carpages.ca/used-cars/quebec/saint-hubert/2020-tesla-model-3-8769392/
10,,2021 Tesla Model X,"$165,910",Red Multi-Coat,https://www.carpages.ca/used-cars/ontario/vaughan/2021-tesla-model-x-8769359/
11,,2020 Tesla Model 3,"$74,888",White,https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-tesla-model-3-8768636/
12,,2022 Nissan Leaf,"$48,991",Pearl White,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-nissan-leaf-8768582/
13,,2022 Ford F-150,"$91,675",Antimatter Blue Metallic,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-f-150-8768468/
14,,2022 Hyundai Santa Fe,"$46,124",Grey,https://www.carpages.ca/new-cars/ontario/midland/2022-hyundai-santa-fe-8768168/
15,,2022 Hyundai Elantra,"$29,324",Cyber Grey,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-hyundai-elantra-8767457/
16,,2022 RAM 1500,"$54,030",Bright White,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8767265/
17,,2022 RAM 1500,"$74,375",Bright White,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8767262/
18,,2021 Audi Q7,"$86,000",Orca Black Metallic,https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-audi-q7-8767247/
19,,2018 Toyota RAV4,"$47,980",White,https://www.carpages.ca/used-cars/british-columbia/vancouver/2018-toyota-rav4-8766620/
20,,2022 Honda Accord,"$39,250",Platinum White Pearl,https://www.carpages.ca/new-cars/newfoundland-and-labrador/st-john-s/2022-honda-accord-8766434/
21,,2019 Ford Fusion,"$28,190",Gray,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2019-ford-fusion-8766200/
22,,2022 Ford MAVERICK,"$37,320",Carbonized Grey Metallic,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-maverick-8766059/
23,,2022 Ford Explorer,"$60,544",Agate Black Metallic,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-explorer-8765984/
24,,2019 Hyundai IONIQ,"$43,986",Polar White,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2019-hyundai-ioniq-8765447/
25,,2022 Tesla Model Y,"$113,888",White,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8764382/
26,,2022 Tesla Model Y,"$113,980",White,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8764376/
27,,2021 Tesla Model Y,"$101,980",Gray,https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-tesla-model-y-8764373/
28,,2021 Tesla Model Y,"$109,888",Black,https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-tesla-model-y-8764367/
29,,2018 Tesla Model 3,"$76,980",MIDNIGHT SILVER,https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-tesla-model-3-8764358/
30,,2016 BMW X5,"$43,995",White,https://www.carpages.ca/used-cars/ontario/north-york/2016-bmw-x5-8763674/
31,,2022 Tesla Model Y,"$104,995",White,https://www.carpages.ca/used-cars/ontario/scarborough/2022-tesla-model-y-8763623/
32,,2022 Ford F-150,"$76,200",Grey,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-8763221/
33,,2022 Ford F-150,"$65,070",Red,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-f-150-8763215/
34,,2022 RAM 1500,"$64,715",Flame red ClearCoat,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8763197/
35,,2022 RAM 1500,"$65,660",Flame red ClearCoat,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8763194/
36,,2021 Jeep Wrangler,"$63,995",Granite Crystal Metallic,https://www.carpages.ca/used-cars/ontario/mississauga/2021-jeep-wrangler-8761514/
37,,2017 Hyundai Ioniq Hybrid,"$27,500",Grey,https://www.carpages.ca/used-cars/british-columbia/port-moody/2017-hyundai-ioniq-hybrid-8761349/
38,,2022 Jeep Grand Wagoneer,"$98,465",Diamond Black Crystal Pearlcoat,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-grand-wagoneer-8761247/
39,,2022 Ford F-150,"$89,074",Rapid Red Metallic Tinted Clearcoat,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-f-150-8761211/
40,,2022 Ford F-150,"$68,815",Antimatter Blue Metallic,https://www.carpages.ca/new-cars/british-columbia/fort-st-john/2022-ford-f-150-8761019/
41,,2017 Toyota Camry,"$31,498",Black,https://www.carpages.ca/used-cars/ontario/st-catharines/2017-toyota-camry-8760695/
42,,2018 Tesla Model S,"$96,589",Pearl White Multi-Coat,https://www.carpages.ca/used-cars/british-columbia/richmond/2018-tesla-model-s-8760401/
43,,2018 BMW X5,"$53,982",Alpine White,https://www.carpages.ca/used-cars/manitoba/winnipeg/2018-bmw-x5-8759648/
44,,2022 Tesla Model Y,"$108,888",White,https://www.carpages.ca/used-cars/ontario/north-york/2022-tesla-model-y-8759552/
45,,2022 Tesla Model Y,"$108,888",White,https://www.carpages.ca/used-cars/ontario/north-york/2022-tesla-model-y-8759549/
46,,2022 Tesla Model Y,"$108,888",Gray,https://www.carpages.ca/used-cars/ontario/north-york/2022-tesla-model-y-8759546/
47,,2020 Mitsubishi Outlander,"$49,900",Red,https://www.carpages.ca/used-cars/ontario/mississauga/2020-mitsubishi-outlander-8759444/
48,,2020 Toyota Highlander,"$69,995",Gray,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2020-toyota-highlander-8759060/
49,,2017 Tesla Model X,"$86,950",Black,https://www.carpages.ca/used-cars/ontario/oakville/2017-tesla-model-x-8758916/
50,,2018 Ford Fusion,"$24,999",Black,https://www.carpages.ca/used-cars/ontario/kitchener/2018-ford-fusion-8758478/
51,,2022 Jeep Wrangler,"$73,275",FIRECRACKER RED,https://www.carpages.ca/new-cars/ontario/guelph/2022-jeep-wrangler-8757923/
52,,2015 Hyundai Sonata,"$19,988",Black,https://www.carpages.ca/used-cars/ontario/guelph/2015-hyundai-sonata-8757836/
53,,2022 Ford F-150,"$83,075",Agate Black,https://www.carpages.ca/new-cars/ontario/mississauga/2022-ford-f-150-8757353/
54,,2019 Ford F-150,"$62,998",White Platinum Metallic Tri-Coat,https://www.carpages.ca/used-cars/ontario/mississauga/2019-ford-f-150-8757089/
55,,2022 Ford Escape,"$53,694",Agate Black Metallic,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-escape-8757062/
56,,2022 Ford F-150,"$97,435",STAR WHITE METALLIC TRI-COAT,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-f-150-8757059/
57,,2022 Ford Escape,"$53,544",Iced Blue Silver Metallic,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-escape-8757032/
58,,2019 Ford Fusion,"$34,988",Gray,https://www.carpages.ca/used-cars/british-columbia/maple-ridge/2019-ford-fusion-8756990/
59,,2021 Toyota Camry,"$46,976",White,https://www.carpages.ca/used-cars/ontario/sudbury/2021-toyota-camry-8756864/
60,,2022 Tesla Model Y,"$109,886",Gray,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-y-8756711/
61,,2022 Tesla Model Y,"$107,809",Black,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-y-8756708/
62,,2021 Tesla Model 3,"$69,995",White,https://www.carpages.ca/used-cars/british-columbia/vancouver/2021-tesla-model-3-8755925/
63,,2021 Tesla Model Y,"$102,995",,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2021-tesla-model-y-8755892/
64,,2019 BMW i8,"$164,995",E-Copper w/Frozen Grey Highlight,https://www.carpages.ca/used-cars/ontario/brampton/2019-bmw-i8-8755835/
65,,2021 Tesla Model Y,"$85,324",Solid Black,https://www.carpages.ca/used-cars/british-columbia/richmond/2021-tesla-model-y-8755745/
66,,2021 Jeep Wrangler,"$82,880",Black,https://www.carpages.ca/used-cars/british-columbia/surrey/2021-jeep-wrangler-8755715/
67,,2022 Ford Escape,"$42,494",Grey,https://www.carpages.ca/new-cars/alberta/peace-river/2022-ford-escape-8754851/
68,,2022 Hyundai Tucson Hybrid,"$49,999",,https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-tucson-hybrid-8754668/
69,,2022 Hyundai Tucson Hybrid,"$49,999",Grey,https://www.carpages.ca/new-cars/alberta/edmonton/2022-hyundai-tucson-hybrid-8754665/
70,,2020 Lexus UX,"$50,600",,https://www.carpages.ca/used-cars/british-columbia/surrey/2020-lexus-ux-8754047/
